region,water_use,population,pct_developed,pct_agriculture,pct_increase,absolute_use,urban_pct,agriculture_pct,per_capita_use,pct_increase_norm,absolute_use_norm,population_norm,urban_pct_norm,agriculture_pct_norm,per_capita_use_norm,risk_index,risk_category,stress_scenario
South Coast,67272874833.333336,18452069.944910284,0.3318997153246653,0.0176986110595525,4.430499797604163,67272874833.333336,0.3318997153246653,0.0176986110595525,3645.8172462049174,90.46552668050347,99.99999999999999,100.0,100.00000000000001,4.156348784824643,23.944732812132216,76.12901686974547,Very High Risk,Climate Change
Sacramento River,15563919941.666666,2789345.166872741,0.0632338804971099,0.1305029591103772,4.720363471543244,15563919941.666666,0.0632338804971099,0.1305029591103772,5579.775542485503,100.0,22.7773670976247,14.876360995317173,13.585530097095504,40.10993519192864,83.9014439403105,48.86658762489027,Moderate Risk,Climate Change
San Francisco Bay,19810290750.0,6278433.225695647,0.260770995420197,0.0264588239881343,3.698561314654102,19810290750.0,0.260770995420197,0.0264588239881343,3155.292098818974,66.38990574337706,29.118936653348484,33.83882612087776,77.12194917019504,6.948449248279186,8.737437691297217,43.42626655346426,Moderate Risk,Climate Change
Tulare Lake,11921538525.0,1954655.2724894795,0.0685570155784535,0.318407988636479,1.6801989629662002,11921538525.0,0.0685570155784535,0.318407988636479,6099.049122772703,0.0,17.337800902195497,10.339995691243944,15.297678932734069,100.0,99.99999999999999,32.211205275562726,Moderate Risk,Climate Change
San Joaquin River,7285179475.0,1426694.9054006934,0.067276591793311,0.2318408784631214,2.041067880943771,7285179475.0,0.067276591793311,0.2318408784631214,5106.333139217264,11.870045747836066,10.41381928872345,7.47064132706181,14.885839657691225,72.40888202085266,69.22374925414447,26.331427370239695,Moderate Risk,Climate Change
South Lahontan,3862781350.0,877256.3052709835,0.0209959568112717,0.0046580701345075,3.924101217895753,3862781350.0,0.0209959568112717,0.0046580701345075,4403.252876942037,73.80858004884138,5.302778181697626,4.484557250665254,0.0,0.0,47.426805511235685,25.848596015969235,Moderate Risk,Climate Change
Central Coast,4169639391.6666665,1157856.1661372117,0.0552739928465291,0.0664752544738724,2.9063230721788695,4169639391.6666665,0.0552739928465291,0.0664752544738724,3601.1721607678023,40.33084741807473,5.761042827626211,6.009558909037865,11.02528840409008,19.702693353520807,22.560642733254113,19.336276806683173,Low Risk,Climate Change
North Lahontan,311994391.6666667,52099.07762169891,0.0233795846049225,0.0270747583739237,2.0346065515547265,311994391.6666667,0.0233795846049225,0.0270747583739237,5988.482059742323,11.657513519043341,0.0,0.0,0.766677059501716,7.144763047731386,96.57219213508738,16.032333189513523,Low Risk,Climate Change
North Coast,1162308980.0,404498.32314941526,0.0347027203158983,0.0262772534589575,3.3547191986764138,1162308980.0,0.0347027203158983,0.0262772534589575,2873.4580923606486,55.079921859030456,1.2698676939800537,1.9152163232726127,4.408683758011282,6.8905781482503095,0.0,15.990802087479059,Low Risk,Climate Change
Colorado River,2565667525.0,653326.3238491003,0.0240747784105803,0.050921332705186596,2.3769668545290763,2565667525.0,0.0240747784105803,0.050921332705186596,3927.0842630130974,22.918756192210132,3.3656563630411527,3.267544555172429,0.9902812413816378,14.74526680088632,32.66459265041584,12.848957865473668,Low Risk,Climate Change
