region,mae,rmse,r2,mape,aic,train_size,test_size
Central Coast,316710287.79112357,333055447.0745032,0.8826563120395566,,933.339513651634,96,12
Colorado River,386575282.3157425,452467022.12246543,0.8891896070098743,,1000.2387092392875,96,12
North Coast,92262195.52327068,117674881.00144143,0.758294662997546,,840.0889185239757,96,12
North Lahontan,71967741.43549632,80632820.86343414,0.7347420431875147,,658.4437806712557,96,12
Sacramento River,1482303123.8852704,2227296816.766576,0.8395883359509091,,1183.819647435887,96,12
San Francisco Bay,1126731228.0897613,1272324951.210923,0.9022580703888228,,1167.5580218872562,96,12
San Joaquin River,316135237.84102684,389704540.5324552,0.9786908571089076,,1026.4797457418317,96,12
South Coast,5392376162.168466,6062389547.252985,0.8654143146925725,,1341.5607781682736,96,12
South Lahontan,394132641.38538915,454076706.83819777,0.8519839158573446,,961.3185256958815,96,12
Tulare Lake,397760981.5680618,447416985.8583216,0.9873687129577841,,1078.33738775258,96,12
