region,report_date,year,month,month_sin,month_cos,ppt,ppt_3month_total,tmax,tmax_3month_avg,population,pct_developed,pct_agriculture,pct_forest,pct_shrub_grass,water_use_lastmonth,water_use_lastyear,water_use_last3month_avg,water_use
Central Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,13.55460393318828,17.651706661627554,25.75195472064989,28.272382015308093,1150192.6925465192,0.06399972307672895,0.07038202288225553,0.14178365910144297,0.7238345949395726,4786369436.868017,5020226976.511572,5315026732.612121,4908217000.0
Colorado River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,5.80690414879575,25.998317447818337,30.152320365554264,34.98338687219396,649002.1692819353,0.027097223960383717,0.06414009365156607,0.006945988177624153,0.9018166942104261,5534828659.1428,6329997220.7466,6664478499.874133,3318495000.0
North Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,87.66079868954837,119.92123162072713,20.123877655839337,24.89295195232364,401821.0802347994,0.040795295730684175,0.028077686675755706,0.5522809833871949,0.3788460342063651,1477431877.2084,1411464798.4681,1585867508.3161333,1373152100.0
North Lahontan,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,38.48283376486287,64.92937776749517,16.860202421510525,22.72429894694873,51754.25076225803,0.027338257554725503,0.030424788239856292,0.284222957539209,0.6580139966662092,237220946.0,313431155.98,345630569.76,300439140.0
Sacramento River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,50.49962827500885,70.03347946221328,22.002301387461422,27.061277552022776,2770883.3979183384,0.07312856768140462,0.13630157736895163,0.3588623757855237,0.43170747916411994,21227498086.103012,20493772744.200783,24347804674.05446,19586357000.0
San Francisco Bay,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,31.64872869226149,35.897097734182225,24.190229191433172,26.094527821506745,6236878.317043594,0.30980022354893527,0.03375690814964665,0.20592126978374664,0.45052159851767143,26459538332.55669,27254332120.243217,29081775441.008984,23831583000.0
San Joaquin River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,29.89523675560204,39.559044531780586,23.328777099937533,27.625554855933373,1417252.0755835928,0.07611009562658129,0.2438788858930535,0.23794019944699304,0.4420708190333721,8610679621.476776,9956715643.574448,10912387376.097275,7747024000.0
South Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,7.831289688261744,24.581017595916457,25.960378614892292,28.556801470798238,18329941.69197867,0.39046981537181846,0.01902999003918819,0.06758074219560128,0.522919452393392,86379575336.45772,91546489148.26836,95226342609.99425,78095606000.0
South Lahontan,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,7.380598430284615,24.65525459052949,25.08063274762849,30.458986060570908,871450.0309475142,0.023553125175163184,0.004618007436247831,0.039741537404765666,0.9320873299838234,4771868584.092935,4404403141.003241,5276310616.214595,4208273700.0
Tulare Lake,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,9.956756033039808,17.608784879430264,24.143952970035095,28.762961115104634,1941718.044621526,0.0766612793457783,0.3351119590461365,0.13819803177461457,0.45002872983347064,13919071656.631853,13262845227.51684,15644585839.707472,12641634000.0
