region,report_date,year,month,month_sin,month_cos,ppt,ppt_3month_total,tmax,tmax_3month_avg,population,pct_developed,pct_agriculture,pct_forest,pct_shrub_grass,water_use_lastmonth,water_use_lastyear,water_use_last3month_avg,water_use
Central Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,18.97644550646359,24.712389326278572,23.75195472064989,26.272382015308093,1149726.2593892517,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,4786369436.868017,5020226976.511572,5315026732.612121,4256710400.0
Colorado River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,8.12966580831405,36.39764442694567,28.152320365554264,32.98338687219396,648738.9819631033,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,5534828659.1428,6329997220.7466,6664478499.874133,3371126500.0
North Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,122.72511816536772,167.88972426901796,18.123877655839337,22.89295195232364,401658.13129909063,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1477431877.2084,1411464798.4681,1585867508.3161333,1328029200.0
North Lahontan,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,53.87596727080801,90.90112887449322,14.860202421510525,20.72429894694873,51733.263062769525,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,237220946.0,313431155.98,345630569.76,265936830.0
Sacramento River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,70.69947958501238,98.04687124709858,20.002301387461422,25.061277552022776,2769759.732379437,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,21227498086.103012,20493772744.200783,24347804674.05446,19084276000.0
San Francisco Bay,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,44.308220169166084,50.25593682785511,22.190229191433172,24.094527821506745,6234349.100101284,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,26459538332.55669,27254332120.243217,29081775441.008984,23557980000.0
San Joaquin River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,41.85333145784285,55.382662344492815,21.328777099937533,25.625554855933373,1416677.3428761587,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,8610679621.476776,9956715643.574448,10912387376.097275,7537299000.0
South Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,10.963805563566442,34.41342463428304,23.960378614892292,26.556801470798238,18322508.422204554,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,86379575336.45772,91546489148.26836,95226342609.99425,76251910000.0
South Lahontan,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,10.33283780239846,34.51735642674129,23.08063274762849,28.458986060570908,871096.6352148083,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,4771868584.092935,4404403141.003241,5276310616.214595,4108806000.0
Tulare Lake,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,13.93945844625573,24.65229883120237,22.143952970035095,26.762961115104634,1940930.627274898,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,13919071656.631853,13262845227.51684,15644585839.707472,12749512000.0
Central Coast,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,53.30754154113544,76.99973622959467,17.83869431271698,22.7554324055647,1150697.6342037395,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,4256710400.0,4095560782.181743,4873034963.206834,3494955500.0
Colorado River,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,9.6749317173009,28.204914304889776,20.670865044484426,27.53144353065483,649287.0852208216,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,3371126528.0,5628581471.669,5386601083.687667,2759158500.0
North Coast,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,220.92816939914468,378.8580421369412,10.710494439788791,17.44022195130598,401997.4821572553,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1328029184.0,963308643.74,1472567616.7328002,920195460.0
North Lahontan,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,75.05533003547787,150.51002456855605,7.163040697008782,14.49535525528674,51776.97119624918,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,265936832.0,205188950.55,260907584.66666666,240358420.0
Sacramento River,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,137.48938202737156,229.13604538061315,11.952273023691259,19.261384502424445,2772099.8327504983,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,19084275712.0,12271057493.181461,21905339140.48926,12121637000.0
San Francisco Bay,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,87.61694763611548,137.33565510533262,16.017540764203268,20.973124952926465,6239616.344935528,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,23557980160.0,22250961777.509205,26848347547.14473,18634013000.0
San Joaquin River,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,86.58104237813805,138.28212917597844,13.911700021843528,20.51658500384042,1417874.2579504098,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,7537298944.0,6996979721.933494,9348261251.814692,5836962300.0
South Coast,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,38.80983575260779,59.39432102013671,19.03381733992598,23.31053953556039,18337988.64897525,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,76251906048.0,82485827465.42513,87450368287.82198,62546410000.0
