region,report_date,year,month,month_sin,month_cos,ppt,ppt_3month_total,tmax,tmax_3month_avg,population,pct_developed,pct_agriculture,pct_forest,pct_shrub_grass,water_use_lastmonth,water_use_lastyear,water_use_last3month_avg,water_use
Central Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,13.55460393318828,17.651706661627554,25.75195472064989,28.272382015308093,1149726.2593892517,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,4786369436.868017,5020226976.511572,5315026732.612121,4454269000.0
Colorado River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,5.80690414879575,25.998317447818337,30.152320365554264,34.98338687219396,648738.9819631033,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,5534828659.1428,6329997220.7466,6664478499.874133,3389831400.0
North Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,87.66079868954837,119.92123162072713,20.123877655839337,24.89295195232364,401658.13129909063,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1477431877.2084,1411464798.4681,1585867508.3161333,1355604700.0
North Lahontan,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,38.48283376486287,64.92937776749517,16.860202421510525,22.72429894694873,51733.263062769525,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,237220946.0,313431155.98,345630569.76,295542720.0
Sacramento River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,50.49962827500885,70.03347946221328,22.002301387461422,27.061277552022776,2769759.732379437,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,21227498086.103012,20493772744.200783,24347804674.05446,19701234000.0
San Francisco Bay,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,31.64872869226149,35.897097734182225,24.190229191433172,26.094527821506745,6234349.100101284,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,26459538332.55669,27254332120.243217,29081775441.008984,23898724000.0
San Joaquin River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,29.89523675560204,39.559044531780586,23.328777099937533,27.625554855933373,1416677.3428761587,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,8610679621.476776,9956715643.574448,10912387376.097275,7791539000.0
South Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,7.831289688261744,24.581017595916457,25.960378614892292,28.556801470798238,18322508.422204554,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,86379575336.45772,91546489148.26836,95226342609.99425,77746200000.0
South Lahontan,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,7.380598430284615,24.65525459052949,25.08063274762849,30.458986060570908,871096.6352148083,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,4771868584.092935,4404403141.003241,5276310616.214595,4201272300.0
Tulare Lake,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,9.956756033039808,17.608784879430264,24.143952970035095,28.762961115104634,1940930.627274898,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,13919071656.631853,13262845227.51684,15644585839.707472,12918363000.0
