region,report_date,year,month,month_sin,month_cos,ppt,ppt_3month_total,tmax,tmax_3month_avg,population,pct_developed,pct_agriculture,pct_forest,pct_shrub_grass,water_use_lastmonth,water_use_lastyear,water_use_last3month_avg,water_use
Central Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,8.132762359912968,10.591023996976531,27.75195472064989,30.272382015308093,1149726.2593892517,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,4786369436.868017,5020226976.511572,5315026732.612121,4612250600.0
Colorado River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,3.48414248927745,15.598990468691001,32.15232036555426,36.98338687219396,648738.9819631033,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,5534828659.1428,6329997220.7466,6664478499.874133,3437727500.0
North Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,52.59647921372902,71.95273897243628,22.123877655839337,26.89295195232364,401658.13129909063,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1477431877.2084,1411464798.4681,1585867508.3161333,1369843000.0
North Lahontan,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,23.08970025891772,38.9576266604971,18.860202421510525,24.72429894694873,51733.263062769525,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,237220946.0,313431155.98,345630569.76,307035170.0
Sacramento River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,30.29977696500531,42.020087677327965,24.002301387461422,29.061277552022776,2769759.732379437,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,21227498086.103012,20493772744.200783,24347804674.05446,20304763000.0
San Francisco Bay,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,18.989237215356894,21.538258640509333,26.190229191433172,28.094527821506745,6234349.100101284,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,26459538332.55669,27254332120.243217,29081775441.008984,24038984000.0
San Joaquin River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,17.93714205336122,23.73542671906835,25.328777099937533,29.625554855933373,1416677.3428761587,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,8610679621.476776,9956715643.574448,10912387376.097275,7859796500.0
South Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,4.698773812957047,14.748610557549874,27.960378614892292,30.556801470798238,18322508.422204554,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,86379575336.45772,91546489148.26836,95226342609.99425,79941190000.0
South Lahontan,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,4.428359058170769,14.793152754317694,27.08063274762849,32.45898606057091,871096.6352148083,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,4771868584.092935,4404403141.003241,5276310616.214595,4305770000.0
Tulare Lake,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,5.974053619823884,10.565270927658158,26.143952970035095,30.762961115104634,1940930.627274898,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,13919071656.631853,13262845227.51684,15644585839.707472,12844385000.0
Central Coast,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,22.84608923191519,32.999886955540575,21.83869431271698,26.7554324055647,1150697.6342037395,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,4612250624.0,4095560782.181743,4991548371.206834,3978747100.0
Colorado River,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,4.146399307414671,12.087820416381332,24.670865044484426,31.53144353065483,649287.0852208216,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,3437727488.0,5628581471.669,5408801403.687667,2857972700.0
North Coast,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,94.683501171062,162.36773234440338,14.710494439788791,21.44022195130598,401997.4821572553,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1369842944.0,963308643.74,1486505536.7328002,1036770600.0
North Lahontan,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,32.166570015204805,64.50429624366687,11.163040697008782,18.49535525528674,51776.97119624918,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,307035168.0,205188950.55,274607030.0,237506960.0
Sacramento River,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,58.924020868873534,98.20116230597708,15.952273023691259,23.261384502424445,2772099.8327504983,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,20304762880.0,12271057493.181461,22312168196.48926,13506141000.0
San Francisco Bay,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,37.55012041547807,58.85813790228541,20.017540764203268,24.973124952926465,6239616.344935528,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,24038983680.0,22250961777.509205,27008682053.811398,20742593000.0
San Joaquin River,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,37.10616101920203,59.263769646847905,17.91170002184353,24.51658500384042,1417874.2579504098,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,7859796480.0,6996979721.933494,9455760430.48136,6261597000.0
South Coast,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,16.632786751117624,25.45470900863002,23.03381733992598,27.31053953556039,18337988.64897525,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,79941189632.0,82485827465.42513,88680129482.48863,72682120000.0
South Lahontan,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,6.110262989665843,13.363817934068186,19.54089159289761,26.622439649730133,871832.6028640836,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,4305769984.0,3172827475.88796,4809831531.37613,3530296600.0
Tulare Lake,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,20.229671699694578,27.75920901148741,18.94518920938464,25.51650537974029,1942570.4707703441,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,12844385280.0,9300052658.380552,14350489481.13648,10014824000.0
Central Coast,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,60.88002114818698,91.85887274001512,17.751826037730996,22.447491690365954,1151638.4557460407,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,3978747136.0,3506539209.9648857,4459122398.956006,3179875600.0
Colorado River,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,9.813122530627323,17.44366432731945,19.65894934156138,25.49404491720003,649817.948636854,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,2857972736.0,6539442405.0226,3943509627.7142663,2382580000.0
North Coast,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,154.72473372077533,302.0047141055664,10.624851235747423,15.819741110458517,402326.15919622924,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1036770624.0,998220516.874,1294681815.0694666,939885100.0
North Lahontan,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,58.44611080168473,113.70238107580727,6.742382763898027,12.255208627472445,51819.30454990229,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,237506960.0,216598046.18,260587691.33333334,258575660.0
Sacramento River,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,103.93276026426034,193.1565580981392,11.530259968478964,17.161611459877214,2774366.328450619,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,13506141184.0,10128140698.811867,18346134050.034336,10128645000.0
San Francisco Bay,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,85.75686787454539,142.29622550538036,16.043785715899865,20.75051855717877,6244717.915755279,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,20742592512.0,19190492571.62309,23747038174.85223,16489435000.0
San Joaquin River,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,74.56595719377317,129.6092602663364,13.529365653539422,18.923280925106827,1419033.5256906943,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,6261597184.0,5724561511.008169,7577357761.825592,5311676000.0
South Coast,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,44.06280609023311,65.39436665430777,19.01510298662381,23.336432980480694,18352981.966290418,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,72682119168.0,78841952649.09735,79667628045.4859,64177725000.0
South Lahontan,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,14.970858633019555,25.509480680856168,14.607585240823358,20.409703193783148,872545.4216530287,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,3530296576.0,3035258253.72236,4202645048.0309777,2848661000.0
Tulare Lake,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,39.44395539243972,65.64768071195816,14.44215052655275,19.843764235324162,1944158.7352214167,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,10014824448.0,7817425070.650784,12259427128.210617,8082317000.0
Central Coast,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,69.76773533701164,140.7648815761103,17.576953678084656,18.904677499587745,1152611.4461271612,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,3179875584.0,3754197255.01878,3923624448.0,3135464200.0
Colorado River,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,13.024281748627951,26.004456720599947,19.217332898748552,21.016935715276823,650366.9634863915,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,2382579968.0,4750385723.99732,2892760064.0,2333361400.0
North Coast,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,144.82025981638355,370.3636887980233,11.461578326457875,12.219211580932706,402666.0744543712,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,939885120.0,961598350.11,1115499562.6666667,884374700.0
North Lahontan,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,55.84496056116295,133.40433576760338,6.965665284020818,8.157797564183534,51863.085377671494,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,258575664.0,228098142.94,267705930.66666666,249975150.0
Sacramento River,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,97.22574803997365,241.18350515090856,12.045079369222435,13.086275677056683,2776710.320818899,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,10128645120.0,10193028949.33997,14646516394.666666,9355020000.0
San Francisco Bay,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,80.19625319159073,188.0617592146497,16.247272376276413,17.374996068032953,6249993.920941216,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,16489435136.0,20361293756.860558,20423670442.666668,16609035000.0
